Highest Offense Description,Highest Offense Code,Zip Code,frequency
ROBBERY BY ASSAULT,303,78723,702
THEFT,600,78739,702
THEFT OF SERVICE,608,78752,702
POSSESSION OF MARIJUANA,1803,78759,700
ASSAULT BY CONTACT FAM/DATING,902,78704,699
CRASH/FAIL STOP AND RENDER AID,3604,78753,698
DAMAGE CITY PROP,3817,78758,698
THEFT OF SERVICE,608,78723,697
CHILD CUSTODY INTERFERE,2001,78753,692
THEFT BY SHOPLIFTING,607,78703,692
VIOL CITY ORDINANCE - CURFEW,3213,78758,691
POSSESSION OF MARIJUANA,1803,78724,690
VIOL OF PARK CURFEW,3217,78701,687
HARASSMENT,2703,78747,687
DEBIT CARD ABUSE,1108,78723,684
HARASSMENT,2703,78717,683
ASSAULT BY THREAT,901,78721,683
AGG ASLT STRANGLE/SUFFOCATE,410,78753,683
DAMAGE CITY PROP,3817,78702,682
THEFT FROM PERSON,610,78741,681
DEBIT CARD ABUSE,1108,78701,680
DISTURBANCE - OTHER,3401,78756,680
TERRORISTIC THREAT,2704,78752,680
CRIMINAL MISCHIEF,1400,78739,679
HARASSMENT,2703,78746,678
ASSAULT BY CONTACT FAM/DATING,902,78702,678
THEFT BY SHOPLIFTING,607,78729,678
VOCO SOLICITATION PROHIBIT,3296,78701,677
GRAFFITI,1402,78757,676
HARASSMENT,2703,78726,670
FRAUD - OTHER,1199,78749,669
FRAUD - OTHER,1199,78701,668
AGG ASSAULT FAM/DATE VIOLENCE,402,78744,666
POSSESSION OF MARIJUANA,1803,78705,666
BURGLARY NON RESIDENCE,502,78756,666
DISTURBANCE - OTHER,3401,78754,663
AUTO THEFT,700,78703,663
DWI,2100,78722,663
POSS OF ALCOHOL - AGE 17 TO 20,2209,78701,662
CHILD CUSTODY INTERFERE,2001,78741,661
DWI 2ND,2102,78753,661
FORGERY AND PASSING,1000,78744,661
CUSTODY ARREST TRAFFIC WARR,3722,78727,660
CUSTODY ARREST TRAFFIC WARR,3722,78724,660
BURGLARY NON RESIDENCE,502,78703,659
FAILURE TO IDENTIFY,2707,78723,659
DATING DISTURBANCE,2400,78701,656
PROSTITUTION,1600,78752,656
THEFT BY SHOPLIFTING,607,78727,656
POSSESSION OF MARIJUANA,1803,78751,655
THEFT OF LICENSE PLATE,614,78741,654
FORGERY AND PASSING,1000,78757,654
FAMILY DISTURBANCE/PARENTAL,3458,78702,652
IDENTITY THEFT,4022,78752,651
ASSAULT BY CONTACT,902,78705,650
VIOL CITY ORDINANCE - CURFEW,3213,78741,650
CRED CARD ABUSE - OTHER,1106,78748,649
VOCO SOLICITATION PROHIBIT,3296,78753,648
DEL CONTROLLED SUB/NARCOTIC,1804,78753,643
THEFT BY SHOPLIFTING,607,78701,642
ASSAULT BY CONTACT,902,78748,641
AUTO THEFT,700,78749,641
UNLAWFUL CARRYING WEAPON,1500,78701,641
AIRPORT - FEDERAL VIOL,4205,78719,640
BURGLARY NON RESIDENCE,502,78731,640
VIOL CITY ORDINANCE - OTHER,3299,78746,637
THEFT OF BICYCLE,609,78723,636
BURGLARY NON RESIDENCE,502,78754,635
VOCO SOLICITATION PROHIBIT,3296,78704,635
ASSAULT BY THREAT,901,78752,634
IDENTITY THEFT,4022,78750,633
THEFT OF LICENSE PLATE,614,78745,632
CUSTODY ARREST TRAFFIC WARR,3722,78750,630
DEBIT CARD ABUSE,1108,78744,630
FAMILY DISTURBANCE,3400,78660,628
THEFT BY SHOPLIFTING,607,78705,628
FAMILY DISTURBANCE/PARENTAL,3458,78704,627
ASSAULT W/INJURY-FAM/DATE VIOL,900,78726,625
FRAUD - OTHER,1199,78757,625
FRAUD - OTHER,1199,78702,624
POSSESSION OF MARIJUANA,1803,78703,621
CRED CARD ABUSE - OTHER,1106,78723,621
VOCO SOLICITATION PROHIBIT,3296,78744,618
VIOL STATE LAW - OTHER,3399,78753,617
GRAFFITI,1402,78745,615
HARASSMENT,2703,78735,614
DEBIT CARD ABUSE,1108,78759,613
VIOL CITY ORDINANCE - OTHER,3299,78723,611
DISTURBANCE - OTHER,3401,78703,611
AGG ASLT STRANGLE/SUFFOCATE,410,78758,610
ASSAULT BY CONTACT FAM/DATING,902,78748,610
ASSAULT BY THREAT,901,78748,607
BURGLARY OF VEHICLE,601,78736,605
THEFT OF BICYCLE,609,78757,605
VIOL CITY ORDINANCE - CURFEW,3213,78745,605
POSS CONTROLLED SUB/NARCOTIC,1800,78759,603
FAILURE TO IDENTIFY,2707,78752,602
DISTURBANCE - OTHER,3401,78617,599
DWI  .15 BAC OR ABOVE,2111,78741,599
FELONY ENHANCEMENT/ASSLT W/INJ,909,78753,596
THEFT OF SERVICE,608,78702,596
BURGLARY NON RESIDENCE,502,78735,596
DWI,2100,78735,596
CRIMINAL TRESPASS/TRANSIENT,2721,78758,595
IDENTITY THEFT,4022,78703,594
CAMPING IN PARK,3214,78704,592
ASSAULT WITH INJURY,900,78617,591
ASSAULT ON PUBLIC SERVANT,903,78701,589
DWI 2ND,2102,78758,588
RAPE,200,78741,585
FORGERY AND PASSING,1000,78702,585
VIOL OF PROTECTIVE ORDER,3009,78741,583
DWI,2100,78729,582
ASSAULT W/INJURY-FAM/DATE VIOL,900,78717,581
VIOL CITY ORDINANCE - OTHER,3299,78744,581
CRED CARD ABUSE - OTHER,1106,78744,580
FELONY ENHANCEMENT/ASSLT W/INJ,909,78723,580
AUTO THEFT,700,78729,580
BURGLARY NON RESIDENCE,502,78729,580
WARRANT ARREST NON TRAFFIC,3442,78703,578
DWI 2ND,2102,78702,578
DATING DISTURBANCE,2400,78702,575
AGG ROBBERY/DEADLY WEAPON,300,78745,574
DWI,2100,78756,572
AGG ASSAULT,402,78721,570
BURGLARY OF VEH-NO SUSPECT/FU,601,78745,569
ASSAULT W/INJURY-FAM/DATE VIOL,900,78722,568
CHILD ENDANGERMENT- ABANDONMEN,2010,78741,565
BURGLARY OF RESIDENCE,500,78729,565
DATING DISTURBANCE,2400,78723,563
POSS CONTROLLED SUB/NARCOTIC,1800,78724,563
CRED CARD ABUSE - OTHER,1106,78749,561
VIOL CITY ORDINANCE - OTHER,3299,78752,561
FORGERY AND PASSING,1000,78748,560
AGG ASSAULT FAM/DATE VIOLENCE,402,78745,555
URINATING IN PUBLIC PLACE,3212,78702,554
FRAUD - OTHER,1199,78705,553
DEL CONTROLLED SUB/NARCOTIC,1804,78741,551
THEFT OF SERVICE,608,78757,551
CRIMINAL TRESPASS/TRANSIENT,2721,78745,550
GRAFFITI,1402,78751,549
FRAUD - OTHER,1199,78731,549
BURGLARY OF RESIDENCE,500,78746,548
CHILD CUSTODY INTERFERE,2001,78758,547
AGG ASSAULT FAM/DATE VIOLENCE,402,78702,543
FORGERY AND PASSING,1000,78752,542
VIOL OF PROTECTIVE ORDER,3009,78744,540
DAMAGE CITY PROP,3817,78748,540
DWI 2ND,2102,78703,540
THEFT FROM AUTO,603,78723,540
FAILURE TO IDENTIFY,2707,78744,539
AUTO THEFT,700,78731,537
THEFT FROM PERSON,610,78753,536
POSS OF DRUG PARAPHERNALIA,1818,78751,535
THEFT OF SERVICE,608,78744,535
PROTECTIVE ORDER,3829,78741,534
CRIMINAL TRESPASS/TRANSIENT,2721,78723,534
CRASH/FAIL STOP AND RENDER AID,3604,78758,534
DWI  .15 BAC OR ABOVE,2111,78701,533
DEBIT CARD ABUSE,1108,78749,532
BURGLARY NON RESIDENCE,502,78727,529
CRIMINAL TRESPASS,2716,78722,527
PROSTITUTION,1600,78741,527
AGG ROBBERY/DEADLY WEAPON,300,78744,526
FAMILY DISTURBANCE,3400,78736,525
CAMPING IN PARK,3214,78702,523
ASSAULT BY CONTACT,902,78721,520
DATING DISTURBANCE,2400,78748,520
ASSAULT BY CONTACT,902,78759,519
FELONY ENHANCEMENT/ASSLT W/INJ,909,78758,518
BURGLARY OF RESIDENCE,500,78735,517
CRIMINAL TRESPASS,2716,78724,516
CUSTODY ARREST TRAFFIC WARR,3722,78703,516
PROTECTIVE ORDER,3829,78744,513
ASSAULT BY CONTACT,902,78757,512
FELONY ENHANCEMENT/ASSLT W/INJ,909,78744,512
ASSAULT W/INJURY-FAM/DATE VIOL,900,78735,511
THEFT FROM PERSON,610,78758,511
BURGLARY NON RESIDENCE,502,78749,511
UNLAWFUL CARRYING WEAPON,1500,78741,510
FAMILY DISTURBANCE/PARENTAL,3458,78724,509
POSS SYNTHETIC MARIJUANA,1825,78701,508
FRAUD - OTHER,1199,78752,508
WARRANT ARREST NON TRAFFIC,3442,78748,507
CUSTODY ARREST TRAFFIC WARR,3722,78731,507
THEFT FROM BUILDING,617,78701,505
VIOL OF PROTECTIVE ORDER,3009,78745,504
TERRORISTIC THREAT,2704,78759,504
AGG ASSAULT,402,78724,504
IDENTITY THEFT,4022,78746,503
DATING DISTURBANCE,2400,78705,502
THEFT OF LICENSE PLATE,614,78704,502
DISTURBANCE - OTHER,3401,78735,501
DATING DISTURBANCE,2400,78759,501
IDENTITY THEFT,4022,78754,501
AGG ROBBERY/DEADLY WEAPON,300,78704,500
FAILURE TO IDENTIFY,2707,78704,499
DWI  .15 BAC OR ABOVE,2111,78704,499
CHILD CUSTODY INTERFERE,2001,78723,497
EVADING / FOOT,2723,78741,494
EVADING / FOOT,2723,78701,493
FAMILY DISTURBANCE,3400,78739,493
BURGLARY OF VEH-NO SUSPECT/FU,601,78758,492
CRED CARD ABUSE BY FORGERY,1005,78753,492
THEFT OF BICYCLE,609,78752,491
FORGERY AND PASSING,1000,78749,490
AUTO THEFT,700,78722,490
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78723,489
POSSESSION OF MARIJUANA,1803,78757,487
AGG ASLT STRANGLE/SUFFOCATE,410,78745,485
THEFT OF BICYCLE,609,78753,485
THEFT BY SHOPLIFTING,607,78660,484
CRED CARD ABUSE BY FORGERY,1005,78745,484
PROTECTIVE ORDER,3829,78745,484
THEFT OF SERVICE,608,78748,480
CUSTODY ARREST TRAFFIC WARR,3722,78722,480
THEFT FROM PERSON,610,78702,480
VIOL STATE LAW - OTHER,3399,78758,480
FELONY ENHANCEMENT/ASSLT W/INJ,909,78702,479
WARRANT ARREST NON TRAFFIC,3442,78724,479
VOCO SOLICITATION PROHIBIT,3296,78751,479
CRIMINAL MISCHIEF,1400,78736,478
DAMAGE CITY PROP,3817,78719,477
THEFT OF AUTO PARTS,604,78753,477
THEFT BY SHOPLIFTING,607,78756,477
IDENTITY THEFT,4022,78724,477
DISTURBANCE - OTHER,3401,78746,476
DISTURBANCE - OTHER,3401,78717,476
CRIMINAL TRESPASS,2716,78703,475
CHILD ENDANGERMENT- ABANDONMEN,2010,78753,475
POSS OF ALCOHOL - AGE 17 TO 20,2209,78705,475
VIOL STATE LAW - OTHER,3399,78723,474
POSS OF DRUG PARAPHERNALIA,1818,78705,473
THEFT,600,78736,473
AGG ASLT STRANGLE/SUFFOCATE,410,78744,472
BURGLARY NON RESIDENCE,502,78722,472
DWI  .15 BAC OR ABOVE,2111,78753,471
THEFT OF AUTO PARTS,604,78758,470
IDENTITY THEFT,4022,78721,470
RESISTING ARREST OR SEARCH,905,78701,469
BURGLARY NON RESIDENCE,502,78750,469
THEFT OF SERVICE,608,78759,469
CHILD ENDANGERMENT- ABANDONMEN,2010,78758,467
DWI 2ND,2102,78744,467
ASSAULT W/INJURY-FAM/DATE VIOL,900,78703,466
ASSAULT WITH INJURY,900,78749,466
THEFT FROM PERSON,610,78723,466
DISTURBANCE - OTHER,3401,78726,465
FELONY ENHANCEMENT/ASSLT W/INJ,909,78745,464
VIOL OF PROTECTIVE ORDER,3009,78758,464
FRAUD - OTHER,1199,78727,464
GRAFFITI,1402,78741,463
THEFT FROM AUTO,603,78752,463
CUSTODY ARREST TRAFFIC WARR,3722,78729,463
PROTECTIVE ORDER,3829,78753,463
DEBIT CARD ABUSE,1108,78757,462
CUSTODY ARREST TRAFFIC WARR,3722,78749,462
ASSAULT W/INJURY-FAM/DATE VIOL,900,78756,461
CRIMINAL TRESPASS/TRANSIENT,2721,78752,461
ASSAULT BY CONTACT FAM/DATING,902,78721,460
CRIMINAL MISCHIEF,1400,78660,460
DWI  .15 BAC OR ABOVE,2111,78758,459
DISTURBANCE - OTHER,3401,78722,457
THEFT OF LICENSE PLATE,614,78744,457
CRED CARD ABUSE - OTHER,1106,78757,457
ROBBERY BY ASSAULT,303,78704,454
TERRORISTIC THREAT-FAM/DAT VIO,2704,78753,454
CRASH/FAIL STOP AND RENDER AID,3604,78701,454
ROBBERY BY ASSAULT,303,78752,453
CRED CARD ABUSE BY FORGERY,1005,78701,450
PROTECTIVE ORDER,3829,78758,447
THEFT BY SHOPLIFTING,607,78722,447
THEFT OF BICYCLE,609,78756,447
GRAFFITI,1402,78723,446
VIOL CITY ORDINANCE - CURFEW,3213,78704,446
ASSAULT BY THREAT,901,78724,445
VOCO - ALCOHOL  CONSUMPTION,3211,78705,443
CRASH/FAIL STOP AND RENDER AID,3604,78704,442
APPLIC TO REVOKE PROBATION,4003,78744,441
GRAFFITI,1402,78758,439
AUTO THEFT,700,78756,435
FAMILY DISTURBANCE/PARENTAL,3458,78721,434
ASSAULT BY THREAT,901,78757,434
POSS OF DRUG PARAPHERNALIA,1818,78759,434
ASSAULT BY THREAT FAM/DATING,901,78753,434
DWI,2100,78754,434
ASSAULT BY THREAT,901,78751,433
CRIMINAL TRESPASS/HOTEL,2722,78701,433
HARASSMENT,2703,78722,433
FAILURE TO IDENTIFY,2707,78745,433
THEFT FROM AUTO,603,78759,431
AGG ASSAULT FAM/DATE VIOLENCE,402,78721,430
POSS CONTROLLED SUB/NARCOTIC,1800,78757,430
TERRORISTIC THREAT,2704,78748,429
ASSAULT WITH INJURY,900,78754,428
POSS CONTROLLED SUB/NARCOTIC,1800,78754,428
DEBIT CARD ABUSE,1108,78702,427
AGG ASSAULT FAM/DATE VIOLENCE,402,78752,426
THEFT OF LICENSE PLATE,614,78723,425
IDENTITY THEFT,4022,78751,425
DRIVING WHILE INTOX / FELONY,2109,78741,424
FRAUD - OTHER,1199,78750,424
VIOL OF PROTECTIVE ORDER,3009,78753,424
ASSAULT BY CONTACT FAM/DATING,902,78724,420
TERRORISTIC THREAT-FAM/DAT VIO,2704,78758,420
BURGLARY NON RESIDENCE,502,78724,419
AGG ASLT STRANGLE/SUFFOCATE,410,78723,418
ASSAULT WITH INJURY,900,78722,416
THEFT OF LICENSE PLATE,614,78759,416
FAMILY DISTURBANCE/PARENTAL,3458,78749,416
AUTO THEFT,700,78719,416
INDECENCY WITH A CHILD/CONTACT,1709,78744,415
CRED CARD ABUSE - OTHER,1106,78752,415
ASSAULT WITH INJURY,900,78727,414
ASSAULT BY CONTACT FAM/DATING,902,78752,412
POSS OF DRUG PARAPHERNALIA,1818,78748,412
VIOL STATE LAW - OTHER,3399,78704,411
CHILD CUSTODY INTERFERE,2001,78702,410
RAPE,200,78701,409
TERRORISTIC THREAT,2704,78757,409
AGG ASSAULT FAM/DATE VIOLENCE,402,78704,408
ASSAULT BY CONTACT,902,78724,407
EVADING / FOOT,2723,78702,407
CRASH/FAIL STOP AND RENDER AID,3604,78745,405
WARRANT ARREST NON TRAFFIC,3442,78722,404
THEFT OF AUTO PARTS,604,78741,403
ASSAULT BY THREAT FAM/DATING,901,78741,403
IDENTITY THEFT,4022,78717,403
IDENTITY THEFT,4022,78729,403
DWI 2ND,2102,78723,402
CRASH/FAIL STOP AND RENDER AID,3604,78723,402
RAPE,200,78753,400
DEL CONTROLLED SUB/NARCOTIC,1804,78723,400
BURGLARY OF RESIDENCE,500,78717,398
INJURY DISABLED INDIVIDUAL,2013,78751,398
ASSAULT WITH INJURY,900,78729,396
CRED CARD ABUSE BY FORGERY,1005,78758,396
ASSAULT BY THREAT,901,78759,395
FAMILY DISTURBANCE/PARENTAL,3458,78727,395
BURGLARY OF VEH-NO SUSPECT/FU,601,78759,395
CRED CARD ABUSE BY FORGERY,1005,78704,394
BURGLARY OF VEH-NO SUSPECT/FU,601,78744,393
BURGLARY NON RESIDENCE,502,78746,392
VIOL STATE LAW - OTHER,3399,78752,392
THEFT FROM AUTO,603,78748,392
DEBIT CARD ABUSE,1108,78727,391
CHILD CUSTODY INTERFERE,2001,78704,391
BURGLARY OF RESIDENCE,500,78701,390
CRASH/FAIL STOP AND RENDER AID,3604,78744,390
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78741,390
BURGLARY OF VEH-NO SUSPECT/FU,601,78746,390
FAMILY DISTURBANCE/PARENTAL,3458,78752,390
DEBIT CARD ABUSE,1108,78752,389
AUTO THEFT,700,78750,389
FORGERY AND PASSING,1000,78751,389
ASSAULT WITH INJURY,900,78703,388
DWI,2100,78717,388
VIOL OF PARK CURFEW,3217,78702,387
VIOL CITY ORDINANCE - WRECKER,3720,78705,386
THEFT OF AUTO PARTS,604,78745,385
DISTURBANCE - OTHER,3401,78747,383
THEFT OF BICYCLE,609,78759,383
CRED CARD ABUSE - OTHER,1106,78727,383
FAMILY DISTURBANCE/PARENTAL,3458,78759,382
TERRORISTIC THREAT-FAM/DAT VIO,2704,78723,381
UNLAWFUL CARRYING WEAPON,1500,78753,381
CRED CARD ABUSE - OTHER,1106,78702,381
VIOL STATE LAW - OTHER,3399,78745,380
VIOL STATE LAW - OTHER,3399,78744,379
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78745,379
MAIL THEFT,8503,78741,379
GRAFFITI,1402,78756,378
CUSTODY ARREST TRAFFIC WARR,3722,78617,377
VIOL CITY ORDINANCE - WRECKER,3720,78741,377
CRUELTY TO ANIMALS,2717,78744,377
ASSAULT W/INJURY-FAM/DATE VIOL,900,78746,376
FAMILY DISTURBANCE,3400,78725,376
DWI 2ND,2102,78752,376
CRED CARD ABUSE - OTHER,1106,78746,374
THEFT FROM PERSON,610,78752,373
INDECENCY WITH A CHILD/CONTACT,1709,78753,372
CRED CARD ABUSE BY FORGERY,1005,78759,372
THEFT FROM PERSON,610,78704,371
INDECENCY WITH A CHILD/CONTACT,1709,78741,369
BURGLARY OF VEH-NO SUSPECT/FU,601,78753,369
POSS CONTROLLED SUB/NARCOTIC,1800,78722,368
CRIMINAL TRESPASS/TRANSIENT,2721,78751,368
TERRORISTIC THREAT-FAM/DAT VIO,2704,78744,368
VIOL CITY ORDINANCE - OTHER,3299,78751,367
FRAUD - OTHER,1199,78751,365
LIQUOR LAW VIOLATION/OTHER,2208,78741,365
DWI,2100,78747,365
IDENTITY THEFT,4022,78747,361
CRIMINAL TRESPASS,2716,78727,361
CRASH/FAIL STOP AND RENDER AID,3604,78702,361
DWI  .15 BAC OR ABOVE,2111,78745,361
ASSAULT BY THREAT,901,78705,359
FORGERY AND PASSING,1000,78727,359
FAMILY DISTURBANCE/PARENTAL,3458,78750,359
RAPE,200,78758,356
ASSAULT BY THREAT FAM/DATING,901,78758,356
CRASH/FAIL STOP AND RENDER AID,3604,78752,356
DRIVING WHILE INTOX / FELONY,2109,78704,356
AUTO THEFT,700,78617,356
ROBBERY BY ASSAULT,303,78744,355
THEFT OF BICYCLE,609,78744,355
THEFT CATALYTIC CONVERTER,620,78741,355
DISTURBANCE - OTHER,3401,78719,354
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78753,354
CRED CARD ABUSE - OTHER,1106,78705,353
FELONY ENHANCEMENT/ASSLT W/INJ,909,78721,353
VOCO SOLICITATION PROHIBIT,3296,78741,353
IDENTITY THEFT,4022,78735,353
IDENTITY THEFT,4022,78705,353
VIOL CITY ORDINANCE - CURFEW,3213,78753,352
VIOL CITY ORDINANCE - CURFEW,3213,78723,351
THEFT CATALYTIC CONVERTER,620,78758,351
ASSAULT BY CONTACT,902,78749,350
AGG ROBBERY/DEADLY WEAPON,300,78701,350
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78758,350
DWI 2ND,2102,78759,350
POSS OF DRUG PARAPHERNALIA,1818,78719,349
DAMAGE CITY PROP,3817,78741,349
CUSTODY ARREST TRAFFIC WARR,3722,78756,349
ROBBERY BY ASSAULT,303,78745,347
TERRORISTIC THREAT,2704,78751,347
MAIL THEFT,8503,78758,347
CRIMINAL TRESPASS/TRANSIENT,2721,78744,346
TERRORISTIC THREAT-FAM/DAT VIO,2704,78741,346
FRAUD - OTHER,1199,78703,343
TERRORISTIC THREAT,2704,78721,343
VIOL OF PROTECTIVE ORDER,3009,78702,343
IDENTITY THEFT,4022,78739,343
GRAFFITI,1402,78744,343
POSS OF DRUG PARAPHERNALIA,1818,78757,342
FAMILY DISTURBANCE/PARENTAL,3458,78617,342
EVADING / FOOT,2723,78753,341
IDENTITY THEFT,4022,78726,341
UNLAWFUL CARRYING WEAPON,1500,78702,340
THEFT OF SERVICE,608,78751,340
DATING DISTURBANCE,2400,78751,339
THEFT OF TRAILER,613,78758,339
BURGLARY OF VEH-NO SUSPECT/FU,601,78741,338
BURGLARY NON RESIDENCE,502,78717,338
FRAUD - OTHER,1199,78754,337
THEFT BY SHOPLIFTING,607,78731,337
POSS CONTROLLED SUB/NARCOTIC,1800,78705,337
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78758,336
GRAFFITI,1402,78703,336
FORGERY AND PASSING,1000,78731,335
DATING DISTURBANCE,2400,78752,334
THEFT OF AUTO PARTS,604,78759,334
TERRORISTIC THREAT,2704,78727,333
VIOL CITY ORDINANCE - CURFEW,3213,78752,333
THEFT OF AUTO PARTS,604,78744,332
THEFT OF LICENSE PLATE,614,78752,332
CRUELTY TO ANIMALS,2717,78745,331
CRIMINAL TRESPASS,2716,78756,331
DATING DISTURBANCE,2400,78729,330
THEFT FROM AUTO,603,78757,330
THEFT,600,78730,329
INDECENCY WITH A CHILD/CONTACT,1709,78758,329
FRAUD - OTHER,1199,78746,329
THEFT OF BICYCLE,609,78722,328
BURGLARY OF COIN-OP MACHINE,602,78741,328
ASSAULT BY THREAT FAM/DATING,901,78744,327
CHILD ENDANGERMENT- ABANDONMEN,2010,78744,327
POSSESSION OF MARIJUANA,1803,78722,327
VIOL OF PROTECTIVE ORDER,3009,78704,326
FAMILY DISTURBANCE,3400,78613,326
BURGLARY OF VEH-NO SUSPECT/FU,601,78731,326
CRED CARD ABUSE - OTHER,1106,78731,326
DOC FIGHTING,2406,78741,326
TERRORISTIC THREAT-FAM/DAT VIO,2704,78745,325
THEFT BY SHOPLIFTING,607,78726,325
POSSESSION OF MARIJUANA,1803,78749,324
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78704,324
PROSTITUTION,1600,78704,323
DEBIT CARD ABUSE,1108,78705,322
POSS OF DRUG PARAPHERNALIA,1818,78724,322
THEFT OF BICYCLE,609,78748,322
DRIVING WHILE INTOX / FELONY,2109,78753,320
THEFT OF LICENSE PLATE,614,78748,320
PROTECTIVE ORDER,3829,78723,320
BURGLARY OF RESIDENCE,500,78726,319
CRED CARD ABUSE - OTHER,1106,78751,319
INDECENT EXPOSURE,1706,78758,319
ASSAULT BY THREAT FAM/DATING,901,78723,319
VIOL OF PROTECTIVE ORDER,3009,78723,319
CRUELTY TO ANIMALS,2717,78741,319
THEFT FROM AUTO,603,78702,319
THEFT OF TRAILER,613,78753,319
UNLAWFUL CARRYING WEAPON,1500,78758,318
AUTO THEFT,700,78747,318
BURGLARY OF VEH-NO SUSPECT/FU,601,78748,318
CRED CARD ABUSE - OTHER,1106,78750,318
DEL CONTROLLED SUB/NARCOTIC,1804,78752,317
POSSESSION OF MARIJUANA,1803,78746,317
ASSAULT BY THREAT FAM/DATING,901,78745,317
INDECENCY WITH A CHILD/CONTACT,1709,78745,316
LITTERING,3216,78701,316
FAMILY DISTURBANCE,3400,78742,315
FAMILY DISTURBANCE,3400,78730,315
URINATING IN PUBLIC PLACE,3212,78741,314
AGG ASSAULT FAM/DATE VIOLENCE,402,78724,314
DOC EXPOSURE,2411,78701,312
DEADLY CONDUCT,408,78744,312
TERRORISTIC THREAT,2704,78705,312
AGG ASSAULT,402,78705,311
DAMAGE CITY PROP,3817,78704,311
FELONY ENHANCEMENT/ASSLT W/INJ,909,78704,310
AGG ASSAULT,402,78748,310
BURGLARY NON RESIDENCE,502,78617,310
VIOL OF EMERG PROTECTIVE ORDER,3008,78741,310
VIOL OF PROTECTIVE ORDER,3009,78748,310
DEL CONTROLLED SUB/NARCOTIC,1804,78758,310
CRED CARD ABUSE BY FORGERY,1005,78741,308
AGG ASSAULT,402,78757,308
EVADING / FOOT,2723,78723,307
EVADING / FOOT,2723,78758,307
ASSAULT BY THREAT,901,78749,306
DWI  .15 BAC OR ABOVE,2111,78744,306
EVADING VEHICLE,2724,78741,306
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78753,305
POSSESSION OF MARIJUANA,1803,78727,304
WARRANT ARREST NON TRAFFIC,3442,78756,304
INDECENT EXPOSURE,1706,78741,303
ASSAULT BY CONTACT FAM/DATING,902,78759,303
DEL CONTROLLED SUB/NARCOTIC,1804,78721,303
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78704,303
THEFT OF BICYCLE,609,78749,303
CRIMINAL TRESPASS,2716,78729,303
AGG ASLT STRANGLE/SUFFOCATE,410,78704,302
DRIVING WHILE INTOX / FELONY,2109,78745,302
RAPE,200,78745,300
INDECENCY WITH A CHILD/CONTACT,1709,78723,300
ASSAULT WITH INJURY,900,78756,300
THEFT OF SERVICE,608,78705,300
CRED CARD ABUSE BY FORGERY,1005,78748,300
ASSAULT BY CONTACT,902,78617,299
FRAUD - OTHER,1199,78735,299
FELONY ENHANCEMENT/ASSLT W/INJ,909,78752,298
INDECENT EXPOSURE,1706,78701,297
ASSAULT WITH INJURY,900,78731,297
GRAFFITI,1402,78753,296
VIOL CITY ORDINANCE - OTHER,3299,78721,296
LIQUOR LAW VIOLATION/OTHER,2208,78701,295
BURGLARY OF COIN-OP MACHINE,602,78758,295
COUNTERFEITING,1006,78753,295
AUTO THEFT,700,78735,295
FORGERY - OTHER,1099,78758,294
CRED CARD ABUSE - OTHER,1106,78703,294
POSSESSION OF MARIJUANA,1803,78750,294
THEFT,600,78725,293
CUSTODY ARREST TRAFFIC WARR,3722,78754,293
AGG ASLT STRANGLE/SUFFOCATE,410,78702,293
CHILD ENDANGERMENT- ABANDONMEN,2010,78723,292
CRIMINAL MISCHIEF,1400,78613,292
ASSAULT BY THREAT,901,78617,291
POSS OF DRUG PARAPHERNALIA,1818,78722,291
EVADING / FOOT,2723,78744,291
DEBIT CARD ABUSE,1108,78750,291
FORGERY AND PASSING,1000,78750,290
DEBIT CARD ABUSE,1108,78751,290
THEFT OF TRAILER,613,78744,290
ASSAULT WITH INJURY,900,78750,289
TERRORISTIC THREAT,2704,78749,288
DWI,2100,78617,288
CRUELTY TO ANIMALS,2717,78753,288
AUTO THEFT,700,78660,287
EVADING VEHICLE,2724,78753,287
DWI,2100,78660,287
FRAUD - OTHER,1199,78729,287
GRAFFITI,1402,78748,287
POSS CONTROLLED SUB/SYN NARC,1801,78701,286
VIOL OF COURT ORDER-NON EPO-PO,2008,78745,286
HARASSMENT,2703,78739,286
TERRORISTIC THREAT,2704,78724,286
WARRANT ARREST NON TRAFFIC,3442,78617,285
GRAFFITI,1402,78749,285
CAMPING IN PARK,3214,78705,284
DEADLY CONDUCT,408,78741,284
CRIMINAL TRESPASS,2716,78749,284
THEFT CATALYTIC CONVERTER,620,78744,284
THEFT OF LICENSE PLATE,614,78705,283
THEFT OF TRAILER,613,78745,282
DOC FIGHTING,2406,78753,282
ASSAULT W/INJURY-FAM/DATE VIOL,900,78660,282
UNLAWFUL CARRYING WEAPON,1500,78745,282
BURGLARY OF COIN-OP MACHINE,602,78753,282
CHILD ENDANGERMENT- ABANDONMEN,2010,78745,281
THEFT CATALYTIC CONVERTER,620,78704,281
